path,original_word,speaker_id,split,frames,sample_rate,channels,duration_seconds,bytes,rms,target_status
three/a8f45bdc_nohash_0.wav,three,a8f45bdc,training,16000,16000,1,1.0,32044,0.06239824369549751,unknown candidate
bed/9b027ecf_nohash_1.wav,bed,9b027ecf,training,16000,16000,1,1.0,32044,0.022088738158345222,unknown candidate
one/fb9d6d23_nohash_0.wav,one,fb9d6d23,training,16000,16000,1,1.0,32044,0.1098175197839737,unknown candidate
bed/18c54a68_nohash_2.wav,bed,18c54a68,training,16000,16000,1,1.0,32044,0.02195858396589756,unknown candidate
off/413997c1_nohash_1.wav,off,413997c1,training,16000,16000,1,1.0,32044,0.08338898420333862,target command
on/2bfe70ef_nohash_1.wav,on,2bfe70ef,training,16000,16000,1,1.0,32044,0.02859833650290966,target command
down/da584bc0_nohash_3.wav,down,da584bc0,training,16000,16000,1,1.0,32044,0.07042859494686127,target command
yes/eb3f7d82_nohash_4.wav,yes,eb3f7d82,training,16000,16000,1,1.0,32044,0.0388987772166729,target command
bed/2aec99ec_nohash_0.wav,bed,2aec99ec,training,16000,16000,1,1.0,32044,0.0272439606487751,unknown candidate
three/3c257192_nohash_0.wav,three,3c257192,training,16000,16000,1,1.0,32044,0.09740188717842102,unknown candidate
up/815f0f03_nohash_0.wav,up,815f0f03,training,16000,16000,1,1.0,32044,0.008038084022700787,target command
sheila/aac5b7c1_nohash_0.wav,sheila,aac5b7c1,training,16000,16000,1,1.0,32044,0.047273412346839905,unknown candidate
no/5c8af87a_nohash_1.wav,no,5c8af87a,testing,16000,16000,1,1.0,32044,0.014243880286812782,target command
sheila/71f9bba8_nohash_0.wav,sheila,71f9bba8,training,16000,16000,1,1.0,32044,0.12400119006633759,unknown candidate
nine/1e4064b8_nohash_0.wav,nine,1e4064b8,training,10403,16000,1,0.6501875,20850,0.20888115465641022,unknown candidate
three/ce7a8e92_nohash_1.wav,three,ce7a8e92,training,16000,16000,1,1.0,32044,0.007550127804279327,unknown candidate
on/bd061bef_nohash_1.wav,on,bd061bef,training,16000,16000,1,1.0,32044,0.0015303761465474963,target command
wow/bd11c654_nohash_0.wav,wow,bd11c654,training,16000,16000,1,1.0,32044,0.07909466326236725,unknown candidate
zero/6078eb0d_nohash_0.wav,zero,6078eb0d,training,15702,16000,1,0.981375,31448,0.03932935371994972,unknown candidate
five/b8872c20_nohash_0.wav,five,b8872c20,training,16000,16000,1,1.0,32044,0.14205114543437958,unknown candidate
bird/c661be6e_nohash_0.wav,bird,c661be6e,training,16000,16000,1,1.0,32044,0.11959371715784073,unknown candidate
three/3bc21161_nohash_0.wav,three,3bc21161,training,16000,16000,1,1.0,32044,0.01767914928495884,unknown candidate
on/0cd323ec_nohash_1.wav,on,0cd323ec,training,16000,16000,1,1.0,32044,0.042390238493680954,target command
tree/0362539c_nohash_3.wav,tree,0362539c,training,12971,16000,1,0.8106875,25986,0.04034050554037094,unknown candidate
dog/59b98a22_nohash_0.wav,dog,59b98a22,training,12971,16000,1,0.8106875,25986,0.0508992075920105,unknown candidate
down/89ed36ab_nohash_2.wav,down,89ed36ab,training,14336,16000,1,0.896,28716,0.0768687054514885,target command
go/be7a5b2d_nohash_1.wav,go,be7a5b2d,training,16000,16000,1,1.0,32044,0.07953870296478271,target command
marvin/1816b768_nohash_0.wav,marvin,1816b768,validation,16000,16000,1,1.0,32044,0.02112532965838909,unknown candidate
up/b7669804_nohash_0.wav,up,b7669804,training,16000,16000,1,1.0,32044,0.0051432508043944836,target command
dog/78622c2b_nohash_0.wav,dog,78622c2b,training,16000,16000,1,1.0,32044,0.12780643999576569,unknown candidate
go/471a0925_nohash_1.wav,go,471a0925,validation,16000,16000,1,1.0,32044,0.10691431164741516,target command
left/5744b6a7_nohash_0.wav,left,5744b6a7,testing,16000,16000,1,1.0,32044,0.02169918082654476,target command
four/789e4ee7_nohash_3.wav,four,789e4ee7,training,16000,16000,1,1.0,32044,0.07616300135850906,unknown candidate
nine/fbf3dd31_nohash_0.wav,nine,fbf3dd31,training,16000,16000,1,1.0,32044,0.09689495712518692,unknown candidate
dog/1aed7c6d_nohash_2.wav,dog,1aed7c6d,validation,16000,16000,1,1.0,32044,0.0716937929391861,unknown candidate
six/692a88e6_nohash_3.wav,six,692a88e6,testing,16000,16000,1,1.0,32044,0.08036136627197266,unknown candidate
go/8fce59ff_nohash_0.wav,go,8fce59ff,training,16000,16000,1,1.0,32044,0.08359883725643158,target command
seven/784e281a_nohash_0.wav,seven,784e281a,training,16000,16000,1,1.0,32044,0.03584740683436394,unknown candidate
zero/1a892463_nohash_0.wav,zero,1a892463,training,16000,16000,1,1.0,32044,0.025816218927502632,unknown candidate
right/85834399_nohash_0.wav,right,85834399,testing,16000,16000,1,1.0,32044,0.011582449078559875,target command
three/28ce0c58_nohash_3.wav,three,28ce0c58,training,16000,16000,1,1.0,32044,0.03233986720442772,unknown candidate
seven/cd85758f_nohash_0.wav,seven,cd85758f,testing,16000,16000,1,1.0,32044,0.04194314032793045,unknown candidate
up/016e2c6d_nohash_0.wav,up,016e2c6d,training,16000,16000,1,1.0,32044,0.01661764644086361,target command
two/32a19ecf_nohash_0.wav,two,32a19ecf,training,16000,16000,1,1.0,32044,0.0016962873050943017,unknown candidate
wow/19f9c115_nohash_0.wav,wow,19f9c115,training,16000,16000,1,1.0,32044,0.09112972021102905,unknown candidate
happy/f5c3de1b_nohash_0.wav,happy,f5c3de1b,training,16000,16000,1,1.0,32044,0.386001855134964,unknown candidate
bird/7bae88ed_nohash_0.wav,bird,7bae88ed,testing,16000,16000,1,1.0,32044,0.08634870499372482,unknown candidate
stop/333784b7_nohash_3.wav,stop,333784b7,training,16000,16000,1,1.0,32044,0.06485322117805481,target command
eight/364f979f_nohash_1.wav,eight,364f979f,training,16000,16000,1,1.0,32044,0.034872740507125854,unknown candidate
down/65d14087_nohash_1.wav,down,65d14087,training,16000,16000,1,1.0,32044,0.01873861998319626,target command
bird/13d7b8c9_nohash_0.wav,bird,13d7b8c9,training,16000,16000,1,1.0,32044,0.12399640679359436,unknown candidate
no/e5dadd24_nohash_0.wav,no,e5dadd24,training,16000,16000,1,1.0,32044,0.012574312277138233,target command
off/122c5aa7_nohash_1.wav,off,122c5aa7,training,16000,16000,1,1.0,32044,0.028336264193058014,target command
one/d750966e_nohash_0.wav,one,d750966e,training,16000,16000,1,1.0,32044,0.00657678721472621,unknown candidate
six/a8e25ebb_nohash_1.wav,six,a8e25ebb,testing,16000,16000,1,1.0,32044,0.011216621845960617,unknown candidate
sheila/3ab9ba07_nohash_1.wav,sheila,3ab9ba07,training,16000,16000,1,1.0,32044,0.028967252001166344,unknown candidate
tree/2cf28b70_nohash_0.wav,tree,2cf28b70,training,16000,16000,1,1.0,32044,0.138902485370636,unknown candidate
sheila/78102205_nohash_1.wav,sheila,78102205,training,16000,16000,1,1.0,32044,0.027326224371790886,unknown candidate
no/02746d24_nohash_0.wav,no,02746d24,training,16000,16000,1,1.0,32044,0.028604207560420036,target command
on/d37e4bf1_nohash_0.wav,on,d37e4bf1,training,16000,16000,1,1.0,32044,0.0215351190418005,target command
zero/ced835d3_nohash_2.wav,zero,ced835d3,training,16000,16000,1,1.0,32044,0.0002640009915921837,unknown candidate
