path,original_word,speaker_id,split,frames,sample_rate,channels,duration_seconds,bytes
_background_noise_/doing_the_dishes.wav,_background_noise_,,training,1522930,16000,1,95.183125,3045984
_background_noise_/dude_miaowing.wav,_background_noise_,,training,988891,16000,1,61.8056875,1977906
_background_noise_/exercise_bike.wav,_background_noise_,,training,980062,16000,1,61.253875,1960248
_background_noise_/pink_noise.wav,_background_noise_,,training,960000,16000,1,60.0,1920044
_background_noise_/running_tap.wav,_background_noise_,,training,978488,16000,1,61.1555,1957100
_background_noise_/white_noise.wav,_background_noise_,,training,960000,16000,1,60.0,1920044
bed/00176480_nohash_0.wav,bed,00176480,training,16000,16000,1,1.0,32044
bed/004ae714_nohash_0.wav,bed,004ae714,training,16000,16000,1,1.0,32044
bed/004ae714_nohash_1.wav,bed,004ae714,training,14861,16000,1,0.9288125,29766
bed/00f0204f_nohash_0.wav,bed,00f0204f,training,16000,16000,1,1.0,32044
bed/00f0204f_nohash_1.wav,bed,00f0204f,training,16000,16000,1,1.0,32044
bed/012c8314_nohash_0.wav,bed,012c8314,training,16000,16000,1,1.0,32044
bed/012c8314_nohash_1.wav,bed,012c8314,training,16000,16000,1,1.0,32044
bed/0132a06d_nohash_0.wav,bed,0132a06d,training,16000,16000,1,1.0,32044
bed/0135f3f2_nohash_0.wav,bed,0135f3f2,training,16000,16000,1,1.0,32044
bed/0137b3f4_nohash_0.wav,bed,0137b3f4,training,16000,16000,1,1.0,32044
bed/014f9f65_nohash_0.wav,bed,014f9f65,training,13654,16000,1,0.853375,27352
bed/01648c51_nohash_0.wav,bed,01648c51,training,16000,16000,1,1.0,32044
bed/01648c51_nohash_1.wav,bed,01648c51,training,16000,16000,1,1.0,32044
bed/016e2c6d_nohash_0.wav,bed,016e2c6d,training,16000,16000,1,1.0,32044
bed/01b4757a_nohash_0.wav,bed,01b4757a,training,16000,16000,1,1.0,32044
bed/01b4757a_nohash_1.wav,bed,01b4757a,training,15702,16000,1,0.981375,31448
bed/01bcfc0c_nohash_0.wav,bed,01bcfc0c,training,16000,16000,1,1.0,32044
bed/0227998e_nohash_0.wav,bed,0227998e,training,15604,16000,1,0.97525,31252
bed/026290a7_nohash_0.wav,bed,026290a7,validation,16000,16000,1,1.0,32044
bed/02746d24_nohash_0.wav,bed,02746d24,training,16000,16000,1,1.0,32044
bed/035de8fe_nohash_0.wav,bed,035de8fe,training,16000,16000,1,1.0,32044
bed/0362539c_nohash_0.wav,bed,0362539c,training,16000,16000,1,1.0,32044
bed/0362539c_nohash_1.wav,bed,0362539c,training,13654,16000,1,0.853375,27352
bed/037c445a_nohash_0.wav,bed,037c445a,training,16000,16000,1,1.0,32044
bed/0397ecda_nohash_0.wav,bed,0397ecda,training,16000,16000,1,1.0,32044
bed/03c96658_nohash_0.wav,bed,03c96658,training,16000,16000,1,1.0,32044
bed/042186b8_nohash_0.wav,bed,042186b8,training,16000,16000,1,1.0,32044
bed/042ea76c_nohash_0.wav,bed,042ea76c,training,16000,16000,1,1.0,32044
bed/0447d7c1_nohash_0.wav,bed,0447d7c1,training,16000,16000,1,1.0,32044
bed/0474c92a_nohash_0.wav,bed,0474c92a,training,12971,16000,1,0.8106875,25986
bed/0474c92a_nohash_1.wav,bed,0474c92a,training,16000,16000,1,1.0,32044
bed/05739450_nohash_0.wav,bed,05739450,training,12971,16000,1,0.8106875,25986
bed/05b2db80_nohash_0.wav,bed,05b2db80,training,16000,16000,1,1.0,32044
bed/05d18852_nohash_0.wav,bed,05d18852,training,16000,16000,1,1.0,32044
bed/06076b6b_nohash_0.wav,bed,06076b6b,training,16000,16000,1,1.0,32044
bed/060cd039_nohash_0.wav,bed,060cd039,validation,16000,16000,1,1.0,32044
bed/060cd039_nohash_1.wav,bed,060cd039,validation,16000,16000,1,1.0,32044
bed/063d48cf_nohash_0.wav,bed,063d48cf,training,16000,16000,1,1.0,32044
bed/063d48cf_nohash_1.wav,bed,063d48cf,training,16000,16000,1,1.0,32044
bed/0685264e_nohash_0.wav,bed,0685264e,training,16000,16000,1,1.0,32044
bed/07363607_nohash_0.wav,bed,07363607,training,16000,16000,1,1.0,32044
bed/079dfce3_nohash_0.wav,bed,079dfce3,training,16000,16000,1,1.0,32044
bed/079dfce3_nohash_1.wav,bed,079dfce3,training,16000,16000,1,1.0,32044
bed/079dfce3_nohash_2.wav,bed,079dfce3,training,16000,16000,1,1.0,32044
bed/07c5129e_nohash_0.wav,bed,07c5129e,training,16000,16000,1,1.0,32044
bed/099d52ad_nohash_0.wav,bed,099d52ad,validation,16000,16000,1,1.0,32044
bed/09bcdc9d_nohash_0.wav,bed,09bcdc9d,training,16000,16000,1,1.0,32044
bed/09bcdc9d_nohash_1.wav,bed,09bcdc9d,training,16000,16000,1,1.0,32044
bed/09ddc105_nohash_0.wav,bed,09ddc105,training,16000,16000,1,1.0,32044
bed/09ddc105_nohash_1.wav,bed,09ddc105,training,16000,16000,1,1.0,32044
bed/0a7c2a8d_nohash_0.wav,bed,0a7c2a8d,training,16000,16000,1,1.0,32044
bed/0b09edd3_nohash_0.wav,bed,0b09edd3,training,12971,16000,1,0.8106875,25986
bed/0b56bcfe_nohash_0.wav,bed,0b56bcfe,training,16000,16000,1,1.0,32044
bed/0b77ee66_nohash_0.wav,bed,0b77ee66,training,16000,16000,1,1.0,32044
bed/0b77ee66_nohash_1.wav,bed,0b77ee66,training,16000,16000,1,1.0,32044
bed/0b77ee66_nohash_2.wav,bed,0b77ee66,training,16000,16000,1,1.0,32044
bed/0bde966a_nohash_0.wav,bed,0bde966a,training,16000,16000,1,1.0,32044
bed/0bde966a_nohash_1.wav,bed,0bde966a,training,16000,16000,1,1.0,32044
bed/0c2ca723_nohash_0.wav,bed,0c2ca723,training,16000,16000,1,1.0,32044
bed/0c2ca723_nohash_1.wav,bed,0c2ca723,training,16000,16000,1,1.0,32044
bed/0c2d2ffa_nohash_0.wav,bed,0c2d2ffa,training,16000,16000,1,1.0,32044
bed/0c2d2ffa_nohash_1.wav,bed,0c2d2ffa,training,15019,16000,1,0.9386875,30082
bed/0c40e715_nohash_0.wav,bed,0c40e715,testing,16000,16000,1,1.0,32044
bed/0d2bcf9d_nohash_0.wav,bed,0d2bcf9d,training,16000,16000,1,1.0,32044
bed/0d2bcf9d_nohash_1.wav,bed,0d2bcf9d,training,16000,16000,1,1.0,32044
bed/0d393936_nohash_0.wav,bed,0d393936,training,16000,16000,1,1.0,32044
